Redshift,K-band mag,K-band dmag
 0.056, 20.198, 0.189
 0.175, 20.931, 0.345
 0.084, 18.085, 0.029
 0.187, 21.907, 0.707
 0.121, 21.597, 0.570
 0.188, 21.891, 0.699
 0.142, 21.489, 0.527
 0.131, 15.421, 0.003
 0.132, 21.845, 0.678
 0.127, 21.519, 0.538
 0.155, 19.351, 0.091
 0.166, 21.639, 0.587
 0.058, 20.390, 0.222
 0.067, 19.425, 0.097
 0.156, 21.268, 0.447
 0.165, 16.594, 0.007
 0.147, 18.728, 0.052
 0.035, 20.297, 0.205
 0.105, 21.627, 0.582
 0.078, 14.834, 0.001
 0.117, 19.027, 0.068
 0.136, 21.040, 0.376
 0.186, 20.455, 0.234
 0.187, 14.046, 0.001
 0.182, 20.379, 0.220
 0.117, 19.149, 0.076
 0.196, 21.573, 0.560
 0.132, 15.503, 0.003
 0.169, 19.903, 0.147
 0.195, 17.713, 0.021
 0.101, 21.927, 0.717
 0.143, 21.437, 0.507
 0.131, 16.919, 0.010
 0.166, 16.551, 0.007
 0.176, 17.876, 0.024
 0.131, 20.274, 0.202
 0.133, 19.974, 0.156
 0.113, 20.251, 0.198
 0.163, 17.199, 0.013
 0.127, 15.129, 0.002
 0.123, 21.665, 0.598
 0.080, 20.741, 0.296
 0.164, 17.355, 0.015
 0.175, 21.432, 0.505
 0.194, 18.122, 0.030
 0.057, 16.185, 0.005
 0.104, 21.031, 0.373
 0.200, 19.647, 0.118
 0.115, 18.916, 0.062
 0.094, 19.575, 0.111
 0.173, 20.312, 0.208
 0.040, 21.983, 0.744
 0.162, 21.507, 0.534
 0.159, 16.301, 0.006
 0.198, 19.110, 0.073
 0.163, 18.340, 0.037
 0.180, 21.886, 0.697
 0.198, 19.069, 0.071
 0.198, 18.360, 0.037
 0.186, 21.809, 0.661
 0.151, 14.354, 0.001
 0.191, 21.846, 0.679
 0.182, 17.569, 0.018
 0.161, 18.284, 0.035
 0.145, 18.525, 0.043
 0.140, 19.815, 0.136
 0.057, 19.897, 0.146
 0.173, 17.925, 0.025
 0.182, 19.765, 0.130
 0.142, 20.270, 0.201
 0.084, 15.951, 0.004
 0.104, 19.472, 0.101
 0.156, 18.941, 0.063
 0.166, 21.027, 0.371
 0.195, 20.124, 0.178
 0.195, 20.084, 0.172
 0.071, 19.122, 0.074
 0.121, 16.867, 0.010
 0.185, 19.936, 0.151
 0.184, 15.490, 0.003
 0.198, 13.604, 0.000
 0.188, 17.713, 0.021
 0.198, 21.151, 0.409
 0.184, 20.859, 0.326
 0.067, 18.831, 0.057
 0.118, 20.545, 0.252
 0.080, 17.169, 0.013
 0.097, 20.359, 0.216
 0.074, 18.714, 0.051
 0.149, 20.280, 0.203
 0.143, 21.616, 0.577
 0.172, 21.024, 0.371
 0.149, 17.021, 0.011
 0.189, 20.553, 0.254
 0.074, 21.792, 0.654
 0.079, 20.390, 0.222
 0.123, 20.124, 0.178
 0.191, 18.952, 0.064
 0.110, 21.352, 0.476
 0.148, 21.884, 0.696
 0.178, 14.755, 0.001
 0.172, 14.444, 0.001
 0.077, 20.014, 0.162
 0.194, 20.964, 0.354
 0.115, 13.701, 0.001
 0.077, 18.091, 0.029
 0.121, 15.199, 0.002
 0.110, 18.191, 0.032
 0.194, 19.554, 0.109
 0.133, 17.582, 0.018
 0.176, 20.874, 0.329
 0.160, 21.247, 0.440
 0.132, 20.062, 0.168
 0.117, 17.482, 0.017
 0.192, 21.797, 0.656
 0.161, 21.353, 0.477
 0.152, 18.727, 0.052
 0.102, 14.911, 0.002
 0.193, 13.675, 0.001
 0.102, 19.300, 0.087
 0.123, 20.112, 0.176
 0.162, 16.983, 0.011
 0.185, 19.439, 0.098
 0.026, 21.311, 0.462
 0.077, 10.732, 0.000
 0.186, 21.993, 0.749
 0.164, 21.571, 0.559
 0.091, 19.844, 0.140
 0.166, 17.819, 0.023
 0.135, 21.885, 0.697
 0.113, 20.257, 0.199
 0.138, 14.102, 0.001
 0.175, 21.754, 0.636
 0.019, 20.602, 0.265
 0.152, 21.679, 0.604
 0.186, 19.900, 0.147
 0.181, 21.351, 0.476
 0.184, 20.452, 0.234
 0.131, 20.884, 0.332
 0.194, 19.042, 0.069
 0.132, 19.093, 0.072
 0.067, 18.569, 0.045
 0.103, 21.959, 0.732
 0.190, 17.726, 0.021
 0.183, 21.229, 0.434
 0.164, 16.289, 0.006
 0.180, 21.178, 0.417
 0.200, 18.741, 0.053
 0.167, 20.339, 0.213
 0.137, 20.851, 0.323
 0.133, 13.607, 0.000
 0.167, 15.463, 0.003
 0.053, 17.803, 0.023
 0.119, 19.421, 0.097
 0.189, 19.349, 0.091
 0.151, 15.978, 0.004
 0.193, 17.799, 0.022
 0.168, 21.697, 0.612
 0.136, 18.815, 0.056
 0.089, 21.865, 0.687
 0.186, 20.077, 0.171
 0.120, 20.528, 0.249
 0.163, 21.852, 0.681
 0.149, 21.595, 0.569
 0.033, 15.854, 0.004
 0.188, 19.493, 0.103
 0.177, 20.987, 0.360
 0.089, 19.534, 0.107
 0.103, 19.475, 0.101
 0.194, 20.212, 0.191
 0.111, 20.128, 0.178
 0.086, 20.820, 0.316
 0.116, 18.966, 0.064
 0.185, 21.603, 0.572
 0.158, 21.248, 0.440
 0.116, 21.880, 0.694
 0.188, 19.940, 0.152
 0.196, 20.167, 0.184
 0.192, 20.053, 0.167
 0.188, 15.649, 0.003
 0.154, 21.416, 0.499
 0.152, 21.975, 0.740
 0.116, 17.464, 0.017
 0.142, 18.010, 0.027
 0.175, 19.450, 0.099
 0.188, 17.136, 0.012
 0.133, 19.861, 0.142
 0.107, 21.006, 0.366
 0.187, 21.053, 0.379
 0.159, 18.388, 0.038
 0.171, 21.721, 0.622
 0.197, 21.272, 0.448
 0.022, 14.645, 0.001
 0.182, 21.989, 0.747
 0.121, 17.632, 0.019
 0.066, 13.353, 0.000
 0.111, 16.512, 0.007
 0.137, 20.651, 0.275
 0.193, 19.605, 0.114
 0.059, 18.348, 0.037
 0.163, 21.796, 0.655
 0.139, 21.916, 0.712
 0.194, 21.348, 0.475
 0.121, 21.587, 0.566
 0.158, 16.139, 0.005
 0.131, 19.979, 0.157
 0.164, 19.354, 0.091
 0.186, 17.927, 0.025
 0.103, 21.279, 0.451
 0.127, 20.997, 0.363
 0.138, 21.852, 0.681
 0.165, 21.278, 0.450
 0.122, 20.186, 0.187
 0.071, 18.606, 0.047
 0.189, 21.008, 0.366
 0.167, 14.535, 0.001
 0.072, 19.918, 0.149
 0.109, 14.242, 0.001
 0.104, 20.402, 0.224
 0.197, 18.279, 0.035
 0.078, 20.310, 0.208
 0.170, 16.713, 0.008
 0.125, 20.427, 0.229
 0.188, 18.776, 0.054
 0.190, 17.219, 0.013
 0.116, 19.143, 0.075
 0.146, 18.099, 0.029
 0.183, 20.316, 0.209
 0.120, 20.311, 0.208
 0.135, 19.641, 0.117
 0.159, 18.415, 0.039
 0.057, 20.996, 0.363
 0.124, 20.049, 0.167
 0.096, 17.034, 0.011
 0.175, 18.894, 0.060
 0.199, 13.616, 0.000
 0.178, 14.701, 0.001
 0.165, 20.307, 0.207
 0.136, 18.759, 0.054
 0.198, 21.608, 0.574
 0.188, 17.986, 0.027
 0.097, 21.727, 0.625
 0.149, 21.107, 0.395
 0.058, 21.522, 0.540
 0.177, 18.435, 0.040
 0.174, 16.757, 0.009
 0.098, 17.016, 0.011
 0.184, 20.814, 0.314
 0.134, 19.321, 0.088
 0.167, 21.043, 0.376
 0.169, 19.312, 0.088
 0.140, 20.923, 0.343
 0.188, 21.366, 0.481
 0.145, 21.611, 0.575
 0.193, 15.912, 0.004
 0.100, 18.447, 0.040
 0.190, 20.767, 0.303
 0.140, 21.222, 0.432
 0.090, 18.631, 0.048
 0.128, 17.423, 0.016
 0.173, 21.836, 0.673
 0.192, 20.316, 0.209
 0.193, 18.860, 0.059
 0.125, 20.617, 0.268
 0.100, 18.119, 0.030
 0.112, 21.425, 0.503
 0.194, 16.768, 0.009
 0.190, 20.669, 0.279
 0.185, 20.669, 0.279
 0.193, 21.409, 0.497
 0.113, 18.505, 0.043
 0.186, 19.799, 0.134
 0.096, 12.509, 0.000
 0.080, 19.925, 0.150
 0.132, 20.779, 0.305
 0.178, 20.913, 0.340
 0.131, 20.302, 0.206
 0.020, 20.228, 0.194
 0.128, 21.888, 0.698
 0.177, 19.670, 0.120
 0.113, 20.703, 0.287
 0.192, 21.728, 0.625
 0.016, 19.244, 0.083
 0.145, 17.027, 0.011
 0.198, 21.232, 0.435
 0.149, 20.030, 0.164
 0.190, 20.712, 0.289
 0.186, 16.937, 0.010
 0.158, 16.034, 0.004
 0.159, 20.175, 0.185
 0.108, 13.582, 0.000
 0.094, 21.054, 0.380
 0.165, 12.849, 0.000
 0.160, 18.156, 0.031
 0.111, 21.081, 0.388
 0.156, 16.973, 0.011
 0.049, 20.884, 0.332
 0.107, 12.907, 0.000
 0.187, 17.975, 0.026
 0.100, 17.963, 0.026
 0.191, 19.486, 0.102
 0.150, 20.153, 0.182
 0.095, 21.467, 0.518
 0.174, 17.785, 0.022
 0.092, 21.492, 0.528
 0.053, 18.750, 0.053
 0.193, 21.853, 0.682
 0.173, 17.411, 0.016
 0.118, 21.808, 0.661
 0.105, 14.572, 0.001
 0.180, 14.413, 0.001
 0.123, 20.181, 0.186
 0.148, 17.964, 0.026
 0.189, 19.923, 0.149
 0.153, 14.489, 0.001
 0.115, 19.736, 0.127
 0.179, 18.291, 0.035
 0.083, 18.794, 0.055
 0.097, 21.797, 0.656
 0.047, 12.987, 0.000
 0.071, 19.126, 0.074
 0.165, 15.860, 0.004
 0.182, 16.064, 0.005
 0.173, 15.418, 0.003
 0.154, 16.880, 0.010
 0.144, 21.571, 0.559
 0.185, 20.163, 0.184
 0.181, 20.419, 0.227
 0.194, 21.667, 0.599
 0.180, 21.178, 0.418
 0.159, 13.938, 0.001
 0.169, 18.463, 0.041
 0.195, 15.350, 0.002
 0.103, 21.980, 0.743
 0.125, 15.962, 0.004
 0.046, 19.554, 0.108
 0.151, 21.009, 0.366
 0.064, 21.970, 0.738
 0.042, 20.240, 0.196
 0.162, 15.214, 0.002
 0.084, 20.006, 0.161
 0.137, 21.770, 0.644
 0.198, 20.946, 0.349
 0.132, 21.476, 0.522
 0.101, 17.860, 0.024
 0.092, 19.619, 0.115
 0.167, 21.269, 0.448
 0.193, 21.369, 0.482
 0.172, 21.807, 0.660
 0.049, 19.172, 0.077
 0.118, 20.947, 0.349
 0.176, 20.652, 0.275
 0.078, 19.672, 0.120
 0.167, 15.955, 0.004
 0.181, 20.356, 0.216
 0.099, 16.200, 0.005
 0.084, 14.985, 0.002
 0.178, 20.819, 0.315
 0.200, 20.164, 0.184
 0.125, 19.891, 0.145
 0.145, 19.698, 0.123
 0.080, 20.901, 0.336
 0.137, 20.224, 0.193
 0.160, 18.290, 0.035
 0.129, 21.234, 0.436
 0.121, 20.950, 0.350
 0.200, 21.982, 0.744
 0.124, 21.346, 0.474
 0.163, 20.547, 0.253
 0.097, 18.349, 0.037
 0.126, 13.438, 0.000
 0.108, 15.731, 0.003
 0.132, 21.148, 0.408
 0.122, 21.125, 0.401
 0.112, 20.699, 0.286
 0.190, 21.765, 0.641
 0.063, 17.832, 0.023
 0.198, 18.807, 0.056
 0.123, 13.959, 0.001
 0.022, 20.881, 0.331
 0.058, 21.326, 0.467
 0.193, 20.228, 0.194
 0.134, 21.007, 0.366
 0.165, 21.285, 0.453
 0.162, 20.696, 0.286
 0.175, 21.853, 0.681
 0.146, 20.920, 0.342
 0.169, 21.207, 0.427
 0.174, 21.538, 0.546
 0.196, 16.224, 0.005
 0.158, 20.961, 0.353
 0.177, 18.629, 0.048
 0.172, 19.101, 0.073
 0.094, 21.222, 0.432
 0.075, 21.023, 0.370
 0.182, 21.091, 0.391
 0.122, 19.148, 0.076
 0.126, 18.426, 0.040
 0.148, 19.891, 0.145
 0.109, 20.042, 0.166
 0.060, 19.318, 0.088
 0.113, 20.909, 0.339
 0.167, 21.383, 0.487
 0.083, 20.679, 0.282
 0.097, 20.100, 0.174
 0.175, 17.552, 0.018
 0.193, 16.457, 0.007
 0.192, 20.622, 0.269
 0.136, 19.089, 0.072
 0.040, 21.169, 0.415
 0.095, 20.505, 0.244
 0.025, 19.877, 0.144
 0.185, 17.198, 0.013
 0.172, 19.048, 0.069
 0.154, 21.429, 0.504
 0.136, 16.112, 0.005
 0.051, 15.122, 0.002
 0.150, 21.031, 0.373
 0.167, 15.839, 0.004
 0.149, 19.635, 0.116
 0.187, 21.900, 0.704
 0.198, 18.381, 0.038
 0.082, 21.412, 0.498
 0.176, 21.495, 0.529
 0.135, 21.618, 0.578
 0.047, 17.658, 0.020
 0.030, 21.355, 0.477
 0.121, 21.841, 0.676
 0.056, 21.675, 0.602
 0.162, 19.370, 0.092
 0.182, 21.258, 0.444
 0.182, 19.148, 0.076
 0.138, 18.540, 0.044
 0.107, 16.019, 0.004
 0.124, 21.801, 0.658
 0.130, 21.880, 0.694
 0.105, 19.193, 0.079
 0.124, 21.353, 0.476
 0.169, 14.221, 0.001
 0.132, 19.272, 0.085
 0.115, 19.416, 0.096
 0.191, 19.032, 0.068
 0.087, 21.431, 0.505
 0.174, 19.077, 0.071
 0.096, 19.833, 0.138
 0.097, 14.797, 0.001
 0.179, 21.718, 0.621
 0.167, 20.012, 0.161
 0.193, 16.356, 0.006
 0.145, 17.706, 0.021
 0.128, 18.121, 0.030
 0.063, 18.228, 0.033
 0.140, 19.692, 0.122
 0.133, 21.512, 0.536
 0.097, 18.375, 0.038
 0.175, 20.303, 0.207
 0.187, 19.429, 0.097
 0.135, 21.669, 0.600
 0.183, 18.841, 0.058
 0.101, 17.713, 0.021
 0.159, 20.334, 0.212
 0.089, 20.385, 0.221
 0.181, 21.402, 0.494
 0.187, 20.114, 0.176
 0.016, 15.348, 0.002
 0.129, 20.888, 0.333
 0.090, 17.276, 0.014
 0.087, 21.926, 0.716
 0.093, 20.380, 0.220
 0.147, 20.612, 0.267
 0.119, 21.901, 0.704
 0.157, 18.312, 0.036
 0.116, 17.360, 0.015
 0.086, 21.697, 0.611
 0.125, 15.398, 0.002
 0.074, 20.566, 0.257
 0.051, 20.769, 0.303
 0.177, 18.227, 0.033
 0.193, 20.807, 0.312
 0.147, 15.234, 0.002
 0.105, 16.427, 0.006
 0.180, 21.860, 0.685
 0.182, 16.079, 0.005
 0.071, 14.491, 0.001
 0.172, 20.909, 0.339
 0.083, 21.999, 0.752
 0.106, 18.415, 0.039
 0.127, 18.105, 0.030
 0.144, 20.874, 0.329
 0.070, 18.952, 0.064
 0.176, 19.026, 0.068
 0.130, 16.075, 0.005
 0.076, 17.240, 0.013
 0.078, 20.642, 0.273
 0.098, 18.833, 0.057
 0.182, 20.902, 0.337
 0.192, 20.621, 0.269
 0.077, 17.175, 0.013
 0.174, 16.929, 0.010
 0.177, 19.370, 0.092
 0.155, 19.453, 0.099
 0.092, 20.578, 0.260
 0.180, 21.412, 0.498
 0.130, 18.224, 0.033
 0.141, 21.936, 0.721
 0.135, 21.336, 0.471
 0.156, 19.883, 0.144
 0.165, 16.972, 0.011
 0.129, 17.635, 0.019
 0.111, 21.978, 0.742
 0.127, 19.515, 0.105
 0.156, 21.183, 0.419
 0.188, 18.781, 0.055
 0.173, 20.466, 0.237
 0.148, 20.715, 0.290
 0.158, 21.266, 0.446
 0.176, 19.988, 0.158
 0.055, 14.659, 0.001
 0.150, 20.057, 0.168
 0.148, 19.750, 0.129
 0.174, 21.232, 0.435
 0.172, 18.348, 0.037
 0.121, 21.779, 0.648
 0.199, 17.180, 0.013
 0.179, 16.832, 0.009
 0.055, 18.038, 0.028
 0.195, 21.552, 0.552
 0.189, 21.711, 0.618
 0.141, 21.699, 0.612
 0.090, 21.942, 0.724
 0.151, 20.481, 0.239
 0.159, 14.459, 0.001
 0.192, 21.186, 0.420
 0.114, 14.341, 0.001
 0.168, 20.367, 0.218
 0.150, 20.949, 0.349
 0.110, 21.099, 0.393
 0.194, 19.709, 0.124
 0.173, 18.650, 0.049
 0.173, 14.789, 0.001
 0.193, 19.630, 0.116
 0.167, 17.878, 0.024
 0.092, 20.843, 0.321
 0.105, 19.295, 0.086
 0.180, 20.747, 0.298
 0.175, 16.560, 0.007
 0.137, 21.540, 0.547
 0.161, 20.626, 0.270
 0.169, 21.655, 0.594
 0.189, 19.971, 0.156
 0.198, 19.833, 0.138
 0.113, 21.723, 0.623
 0.079, 19.467, 0.101
 0.181, 18.179, 0.032
 0.113, 20.851, 0.324
 0.084, 21.016, 0.368
 0.189, 21.170, 0.415
 0.169, 15.052, 0.002
 0.158, 16.847, 0.009
 0.161, 18.537, 0.044
 0.133, 18.539, 0.044
 0.104, 18.189, 0.032
 0.087, 21.541, 0.547
 0.058, 21.933, 0.720
 0.035, 16.683, 0.008
 0.152, 21.391, 0.490
 0.140, 21.284, 0.452
 0.063, 12.634, 0.000
 0.109, 18.278, 0.035
 0.095, 20.470, 0.237
 0.183, 19.460, 0.100
 0.189, 20.545, 0.253
 0.059, 19.954, 0.154
 0.176, 21.735, 0.628
 0.195, 15.238, 0.002
 0.108, 17.426, 0.016
 0.142, 20.632, 0.271
 0.088, 20.281, 0.203
 0.184, 20.072, 0.170
 0.187, 15.376, 0.002
 0.186, 20.379, 0.220
 0.133, 17.873, 0.024
 0.199, 17.865, 0.024
 0.061, 19.969, 0.156
 0.181, 20.375, 0.219
 0.122, 18.873, 0.059
 0.103, 18.221, 0.033
 0.145, 20.247, 0.197
 0.194, 19.209, 0.080
 0.153, 19.975, 0.156
 0.189, 20.849, 0.323
 0.056, 14.523, 0.001
 0.196, 21.103, 0.394
 0.159, 21.799, 0.657
 0.198, 20.326, 0.210
 0.125, 20.344, 0.214
 0.178, 20.442, 0.232
 0.154, 20.409, 0.226
 0.116, 21.360, 0.479
 0.159, 21.379, 0.486
 0.175, 21.269, 0.447
 0.132, 21.450, 0.512
 0.187, 20.217, 0.192
 0.180, 18.084, 0.029
 0.139, 20.135, 0.179
 0.161, 19.027, 0.068
 0.131, 16.729, 0.008
 0.148, 16.018, 0.004
 0.087, 16.540, 0.007
 0.083, 19.303, 0.087
 0.051, 14.816, 0.001
 0.137, 20.011, 0.161
 0.067, 20.944, 0.348
 0.158, 18.748, 0.053
 0.164, 20.962, 0.353
 0.168, 20.415, 0.227
 0.109, 17.407, 0.016
 0.191, 18.044, 0.028
 0.155, 18.281, 0.035
 0.163, 21.737, 0.629
 0.176, 19.456, 0.100
 0.097, 21.366, 0.481
 0.165, 21.556, 0.553
 0.190, 21.959, 0.732
 0.189, 21.286, 0.453
 0.145, 21.192, 0.422
 0.109, 19.900, 0.147
 0.172, 16.715, 0.008
 0.050, 18.869, 0.059
 0.097, 13.452, 0.000
 0.125, 16.910, 0.010
 0.108, 14.103, 0.001
 0.139, 21.946, 0.726
 0.183, 19.438, 0.098
 0.085, 21.110, 0.396
 0.134, 20.628, 0.270
 0.178, 21.922, 0.714
 0.200, 20.844, 0.322
 0.164, 21.784, 0.650
 0.136, 19.679, 0.121
 0.067, 21.588, 0.566
 0.106, 20.229, 0.194
 0.194, 15.493, 0.003
 0.171, 20.542, 0.252
 0.062, 20.705, 0.288
 0.113, 21.071, 0.385
 0.132, 19.505, 0.104
 0.109, 18.287, 0.035
 0.088, 21.530, 0.543
 0.125, 19.236, 0.082
 0.151, 14.878, 0.002
 0.161, 15.336, 0.002
 0.076, 16.698, 0.008
 0.066, 21.471, 0.520
 0.162, 21.824, 0.668
 0.192, 16.536, 0.007
 0.191, 20.680, 0.282
 0.161, 20.925, 0.343
 0.092, 19.825, 0.137
 0.157, 20.807, 0.312
 0.070, 21.543, 0.548
 0.162, 20.346, 0.214
 0.185, 21.604, 0.573
 0.191, 18.366, 0.038
 0.145, 17.400, 0.016
 0.163, 19.022, 0.068
 0.135, 19.303, 0.087
 0.189, 15.508, 0.003
 0.073, 16.449, 0.007
 0.177, 17.088, 0.012
 0.078, 20.443, 0.232
 0.146, 21.598, 0.570
 0.066, 19.413, 0.096
 0.107, 14.823, 0.001
 0.156, 19.386, 0.094
 0.115, 20.847, 0.322
 0.192, 21.968, 0.737
 0.049, 18.428, 0.040
 0.120, 20.439, 0.231
 0.188, 21.701, 0.613
 0.192, 18.096, 0.029
 0.143, 21.488, 0.526
 0.188, 20.036, 0.165
 0.197, 19.340, 0.090
 0.162, 21.883, 0.695
 0.087, 21.375, 0.485
 0.186, 20.922, 0.342
 0.118, 14.186, 0.001
 0.123, 19.727, 0.126
 0.199, 20.683, 0.283
 0.197, 19.907, 0.147
 0.195, 19.795, 0.134
 0.068, 20.713, 0.289
 0.191, 20.361, 0.217
 0.120, 19.765, 0.130
 0.171, 21.820, 0.666
 0.110, 21.519, 0.538
 0.169, 17.019, 0.011
 0.179, 21.441, 0.509
 0.123, 20.631, 0.271
 0.145, 19.261, 0.084
 0.112, 21.760, 0.639
 0.151, 20.072, 0.170
 0.170, 21.809, 0.661
 0.184, 21.078, 0.387
 0.088, 17.340, 0.015
 0.170, 20.432, 0.230
 0.185, 21.116, 0.398
 0.151, 16.935, 0.010
 0.144, 21.442, 0.509
 0.163, 21.658, 0.595
 0.147, 19.450, 0.099
 0.173, 21.855, 0.683
 0.199, 21.632, 0.584
 0.173, 21.265, 0.446
 0.192, 20.545, 0.253
 0.048, 18.179, 0.032
 0.165, 21.673, 0.601
 0.148, 14.660, 0.001
 0.087, 17.429, 0.016
 0.143, 19.785, 0.133
 0.033, 18.412, 0.039
 0.179, 17.209, 0.013
 0.194, 20.656, 0.277
 0.185, 17.386, 0.015
 0.139, 20.766, 0.302
 0.037, 18.766, 0.054
 0.178, 21.956, 0.731
 0.177, 19.122, 0.074
 0.196, 18.402, 0.039
 0.070, 19.781, 0.132
 0.148, 21.428, 0.504
 0.184, 21.173, 0.416
 0.100, 20.011, 0.161
 0.139, 17.473, 0.017
 0.158, 21.785, 0.651
 0.119, 18.161, 0.031
 0.197, 19.679, 0.121
 0.118, 15.799, 0.004
 0.075, 17.886, 0.024
 0.165, 19.069, 0.071
 0.183, 21.801, 0.658
 0.159, 21.115, 0.398
 0.184, 21.783, 0.650
 0.020, 19.857, 0.141
 0.162, 21.043, 0.376
 0.101, 21.331, 0.469
 0.200, 16.021, 0.004
 0.136, 20.679, 0.282
 0.183, 17.561, 0.018
 0.140, 18.613, 0.047
 0.189, 14.375, 0.001
 0.085, 18.165, 0.031
 0.079, 16.647, 0.008
 0.182, 20.898, 0.336
 0.141, 21.723, 0.623
 0.146, 21.899, 0.703
 0.193, 16.971, 0.011
 0.160, 15.292, 0.002
 0.179, 20.729, 0.293
 0.061, 17.210, 0.013
 0.064, 18.605, 0.047
 0.192, 18.066, 0.029
 0.146, 20.075, 0.170
 0.182, 21.442, 0.509
 0.183, 21.741, 0.631
 0.075, 16.880, 0.010
 0.070, 21.386, 0.489
 0.142, 14.476, 0.001
 0.155, 17.119, 0.012
 0.144, 19.776, 0.132
 0.132, 21.375, 0.484
 0.142, 18.902, 0.061
 0.171, 20.027, 0.164
 0.200, 18.745, 0.053
 0.199, 20.300, 0.206
 0.092, 20.332, 0.212
 0.176, 19.860, 0.142
 0.145, 13.940, 0.001
 0.188, 21.069, 0.384
 0.048, 19.830, 0.138
 0.200, 17.823, 0.023
 0.101, 17.656, 0.020
 0.182, 21.925, 0.716
 0.189, 17.813, 0.023
 0.136, 19.612, 0.114
 0.125, 20.697, 0.286
 0.179, 20.662, 0.278
 0.162, 20.631, 0.271
 0.176, 15.330, 0.002
 0.185, 18.947, 0.063
 0.050, 17.106, 0.012
 0.148, 20.913, 0.340
 0.061, 13.856, 0.001
 0.172, 21.494, 0.529
 0.193, 15.125, 0.002
 0.064, 18.608, 0.047
 0.151, 15.624, 0.003
 0.103, 19.014, 0.067
 0.195, 20.673, 0.280
 0.183, 18.970, 0.065
 0.172, 19.329, 0.089
 0.133, 17.700, 0.020
 0.145, 18.834, 0.057
 0.113, 21.273, 0.449
 0.179, 19.822, 0.137
 0.148, 21.702, 0.614
 0.151, 20.439, 0.231
 0.177, 20.080, 0.171
 0.118, 17.706, 0.021
 0.143, 20.388, 0.222
 0.075, 20.012, 0.161
 0.101, 16.598, 0.007
 0.165, 18.018, 0.027
 0.190, 21.627, 0.582
 0.196, 21.361, 0.480
 0.076, 20.864, 0.327
 0.121, 14.759, 0.001
 0.198, 21.662, 0.597
 0.142, 15.726, 0.003
 0.102, 21.478, 0.523
 0.115, 21.437, 0.507
 0.176, 18.684, 0.050
 0.082, 19.103, 0.073
 0.177, 20.876, 0.330
 0.093, 21.203, 0.426
 0.199, 18.373, 0.038
 0.124, 20.319, 0.209
 0.134, 16.982, 0.011
 0.195, 19.799, 0.134
 0.135, 17.901, 0.025
 0.197, 19.161, 0.077
 0.157, 17.596, 0.019
 0.191, 21.953, 0.729
 0.176, 15.174, 0.002
 0.187, 21.715, 0.619
 0.105, 17.506, 0.017
 0.200, 21.306, 0.460
 0.152, 21.566, 0.557
 0.085, 21.053, 0.379
 0.136, 20.028, 0.164
 0.164, 19.449, 0.099
 0.122, 20.434, 0.230
 0.198, 19.038, 0.069
 0.091, 20.003, 0.160
 0.067, 15.118, 0.002
 0.178, 20.464, 0.236
 0.089, 21.784, 0.650
 0.191, 21.336, 0.471
 0.109, 19.963, 0.155
 0.097, 19.018, 0.067
 0.156, 21.039, 0.375
 0.069, 20.325, 0.210
 0.081, 19.814, 0.136
 0.100, 19.653, 0.118
 0.091, 20.728, 0.293
 0.140, 18.629, 0.048
 0.124, 19.770, 0.131
 0.198, 20.403, 0.225
 0.146, 21.539, 0.546
 0.169, 16.733, 0.008
 0.128, 21.930, 0.718
 0.037, 17.265, 0.014
 0.190, 16.388, 0.006
 0.087, 21.211, 0.428
 0.122, 19.945, 0.152
 0.170, 20.571, 0.258
 0.120, 20.010, 0.161
 0.169, 21.554, 0.552
 0.084, 21.925, 0.716
 0.143, 15.879, 0.004
 0.166, 13.962, 0.001
 0.110, 16.636, 0.008
 0.064, 18.872, 0.059
 0.108, 17.615, 0.019
 0.184, 19.503, 0.104
 0.185, 16.826, 0.009
 0.194, 19.295, 0.086
 0.105, 14.769, 0.001
 0.110, 21.468, 0.519
 0.178, 20.779, 0.305
 0.104, 17.327, 0.015
 0.191, 21.124, 0.401
 0.163, 16.147, 0.005
 0.160, 17.709, 0.021
 0.089, 21.044, 0.376
 0.103, 21.743, 0.632
 0.101, 20.710, 0.289
 0.121, 21.731, 0.626
 0.139, 21.965, 0.735
 0.149, 18.158, 0.031
 0.145, 20.282, 0.203
 0.137, 16.819, 0.009
 0.190, 16.225, 0.005
 0.183, 21.506, 0.533
 0.155, 21.121, 0.400
 0.159, 20.721, 0.291
 0.046, 17.679, 0.020
 0.180, 14.700, 0.001
 0.197, 19.311, 0.088
 0.082, 15.427, 0.003
 0.114, 21.435, 0.507
 0.038, 17.735, 0.021
 0.115, 20.695, 0.285
 0.149, 21.540, 0.547
 0.174, 15.272, 0.002
 0.174, 20.089, 0.172
 0.171, 20.759, 0.301
 0.137, 21.633, 0.585
 0.177, 20.530, 0.249
 0.114, 18.914, 0.062
 0.164, 21.033, 0.373
 0.176, 16.152, 0.005
 0.132, 20.732, 0.294
 0.188, 20.135, 0.179
 0.159, 19.214, 0.080
 0.048, 16.220, 0.005
 0.069, 18.043, 0.028
 0.177, 16.987, 0.011
 0.153, 20.165, 0.184
 0.150, 16.957, 0.010
 0.109, 15.089, 0.002
 0.103, 21.997, 0.751
 0.131, 18.239, 0.033
 0.124, 21.674, 0.602
 0.157, 20.471, 0.237
 0.135, 21.481, 0.524
 0.094, 17.578, 0.018
 0.050, 20.766, 0.302
 0.115, 21.791, 0.653
 0.156, 19.673, 0.120
 0.071, 13.918, 0.001
